book,chapter,verse,text
philippians,1,1,παυλος και τιμοθεος δουλοι ιησου χριστου πασιν τοις αγιοις εν χριστω ιησου τοις ουσιν εν φιλιπποις συν επισκοποις και διακονοις
philippians,1,2,χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου
philippians,1,3,ευχαριστω τω θεω μου επι παση τη μνεια υμων
philippians,1,4,παντοτε εν παση δεησει μου υπερ παντων υμων μετα χαρας την δεησιν ποιουμενος
philippians,1,5,επι τη κοινωνια υμων εις το ευαγγελιον απο πρωτης ημερας αχρι του νυν
philippians,1,6,πεποιθως αυτο τουτο οτι ο εναρξαμενος εν υμιν εργον αγαθον επιτελεσει αχρις ημερας ιησου χριστου
philippians,1,7,καθως εστιν δικαιον εμοι τουτο φρονειν υπερ παντων υμων δια το εχειν με εν τη καρδια υμας εν τε τοις δεσμοις μου και τη απολογια και βεβαιωσει του ευαγγελιου συγκοινωνους μου της χαριτος παντας υμας οντας
philippians,1,8,μαρτυς γαρ μου εστιν ο θεος ως επιποθω παντας υμας εν σπλαγχνοις ιησου χριστου
philippians,1,9,και τουτο προσευχομαι ινα η αγαπη υμων ετι μαλλον και μαλλον περισσευη εν επιγνωσει και παση αισθησει
philippians,1,10,εις το δοκιμαζειν υμας τα διαφεροντα ινα ητε ειλικρινεις και απροσκοποι εις ημεραν χριστου
philippians,1,11,πεπληρωμενοι καρπων δικαιοσυνης των δια ιησου χριστου εις δοξαν και επαινον θεου
philippians,1,12,γινωσκειν δε υμας βουλομαι αδελφοι οτι τα κατ εμε μαλλον εις προκοπην του ευαγγελιου εληλυθεν
philippians,1,13,ωστε τους δεσμους μου φανερους εν χριστω γενεσθαι εν ολω τω πραιτωριω και τοις λοιποις πασιν
philippians,1,14,και τους πλειονας των αδελφων εν κυριω πεποιθοτας τοις δεσμοις μου περισσοτερως τολμαν αφοβως τον λογον λαλειν
philippians,1,15,τινες μεν και δια φθονον και εριν τινες δε και δι ευδοκιαν τον χριστον κηρυσσουσιν
philippians,1,16,οι μεν εξ εριθειας τον χριστον καταγγελλουσιν ουχ αγνως οιομενοι θλιψιν επιφερειν τοις δεσμοις μου
philippians,1,17,οι δε εξ αγαπης ειδοτες οτι εις απολογιαν του ευαγγελιου κειμαι
philippians,1,18,τι γαρ πλην παντι τροπω ειτε προφασει ειτε αληθεια χριστος καταγγελλεται και εν τουτω χαιρω αλλα και χαρησομαι
philippians,1,19,οιδα γαρ οτι τουτο μοι αποβησεται εις σωτηριαν δια της υμων δεησεως και επιχορηγιας του πνευματος ιησου χριστου
philippians,1,20,κατα την αποκαραδοκιαν και ελπιδα μου οτι εν ουδενι αισχυνθησομαι αλλ εν παση παρρησια ως παντοτε και νυν μεγαλυνθησεται χριστος εν τω σωματι μου ειτε δια ζωης ειτε δια θανατου
philippians,1,21,εμοι γαρ το ζην χριστος και το αποθανειν κερδος
philippians,1,22,ει δε το ζην εν σαρκι τουτο μοι καρπος εργου και τι αιρησομαι ου γνωριζω
philippians,1,23,συνεχομαι γαρ εκ των δυο την επιθυμιαν εχων εις το αναλυσαι και συν χριστω ειναι πολλω μαλλον κρεισσον
philippians,1,24,το δε επιμενειν εν τη σαρκι αναγκαιοτερον δι υμας
philippians,1,25,και τουτο πεποιθως οιδα οτι μενω και συμπαραμενω πασιν υμιν εις την υμων προκοπην και χαραν της πιστεως
philippians,1,26,ινα το καυχημα υμων περισσευη εν χριστω ιησου εν εμοι δια της εμης παρουσιας παλιν προς υμας
philippians,1,27,μονον αξιως του ευαγγελιου του χριστου πολιτευεσθε ινα ειτε ελθων και ιδων υμας ειτε απων ακουσω τα περι υμων οτι στηκετε εν ενι πνευματι μια ψυχη συναθλουντες τη πιστει του ευαγγελιου
philippians,1,28,και μη πτυρομενοι εν μηδενι υπο των αντικειμενων ητις αυτοις μεν εστιν ενδειξις απωλειας υμιν δε σωτηριας και τουτο απο θεου
philippians,1,29,οτι υμιν εχαρισθη το υπερ χριστου ου μονον το εις αυτον πιστευειν αλλα και το υπερ αυτου πασχειν
philippians,1,30,τον αυτον αγωνα εχοντες οιον εν εμοι και νυν ακουετε εν εμοι
philippians,2,1,ει τις ουν παρακλησις εν χριστω ει τι παραμυθιον αγαπης ει τις κοινωνια πνευματος ει τινα σπλαγχνα και οικτιρμοι
philippians,2,2,πληρωσατε μου την χαραν ινα το αυτο φρονητε την αυτην αγαπην εχοντες συμψυχοι το εν φρονουντες
philippians,2,3,μηδεν κατα εριθειαν η κενοδοξιαν αλλα τη ταπεινοφροσυνη αλληλους ηγουμενοι υπερεχοντας εαυτων
philippians,2,4,μη τα εαυτων εκαστος σκοπειτε αλλα και τα ετερων εκαστος
philippians,2,5,τουτο γαρ φρονεισθω εν υμιν ο και εν χριστω ιησου
philippians,2,6,ος εν μορφη θεου υπαρχων ουχ αρπαγμον ηγησατο το ειναι ισα θεω
philippians,2,7,αλλ εαυτον εκενωσεν μορφην δουλου λαβων εν ομοιωματι ανθρωπων γενομενος
philippians,2,8,και σχηματι ευρεθεις ως ανθρωπος εταπεινωσεν εαυτον γενομενος υπηκοος μεχρι θανατου θανατου δε σταυρου
philippians,2,9,διο και ο θεος αυτον υπερυψωσεν και εχαρισατο αυτω ονομα το υπερ παν ονομα
philippians,2,10,ινα εν τω ονοματι ιησου παν γονυ καμψη επουρανιων και επιγειων και καταχθονιων
philippians,2,11,και πασα γλωσσα εξομολογησηται οτι κυριος ιησους χριστος εις δοξαν θεου πατρος
philippians,2,12,ωστε αγαπητοι μου καθως παντοτε υπηκουσατε μη ως εν τη παρουσια μου μονον αλλα νυν πολλω μαλλον εν τη απουσια μου μετα φοβου και τρομου την εαυτων σωτηριαν κατεργαζεσθε
philippians,2,13,ο θεος γαρ εστιν ο ενεργων εν υμιν και το θελειν και το ενεργειν υπερ της ευδοκιας
philippians,2,14,παντα ποιειτε χωρις γογγυσμων και διαλογισμων
philippians,2,15,ινα γενησθε αμεμπτοι και ακεραιοι τεκνα θεου αμωμητα εν μεσω γενεας σκολιας και διεστραμμενης εν οις φαινεσθε ως φωστηρες εν κοσμω
philippians,2,16,λογον ζωης επεχοντες εις καυχημα εμοι εις ημεραν χριστου οτι ουκ εις κενον εδραμον ουδε εις κενον εκοπιασα
philippians,2,17,αλλ ει και σπενδομαι επι τη θυσια και λειτουργια της πιστεως υμων χαιρω και συγχαιρω πασιν υμιν
philippians,2,18,το δ αυτο και υμεις χαιρετε και συγχαιρετε μοι
philippians,2,19,ελπιζω δε εν κυριω ιησου τιμοθεον ταχεως πεμψαι υμιν ινα καγω ευψυχω γνους τα περι υμων
philippians,2,20,ουδενα γαρ εχω ισοψυχον οστις γνησιως τα περι υμων μεριμνησει
philippians,2,21,οι παντες γαρ τα εαυτων ζητουσιν ου τα του χριστου ιησου
philippians,2,22,την δε δοκιμην αυτου γινωσκετε οτι ως πατρι τεκνον συν εμοι εδουλευσεν εις το ευαγγελιον
philippians,2,23,τουτον μεν ουν ελπιζω πεμψαι ως αν απιδω τα περι εμε εξαυτης
philippians,2,24,πεποιθα δε εν κυριω οτι και αυτος ταχεως ελευσομαι
philippians,2,25,αναγκαιον δε ηγησαμην επαφροδιτον τον αδελφον και συνεργον και συστρατιωτην μου υμων δε αποστολον και λειτουργον της χρειας μου πεμψαι προς υμας
philippians,2,26,επειδη επιποθων ην παντας υμας και αδημονων διοτι ηκουσατε οτι ησθενησεν
philippians,2,27,και γαρ ησθενησεν παραπλησιον θανατω αλλ ο θεος αυτον ηλεησεν ουκ αυτον δε μονον αλλα και εμε ινα μη λυπην επι λυπη σχω
philippians,2,28,σπουδαιοτερως ουν επεμψα αυτον ινα ιδοντες αυτον παλιν χαρητε καγω αλυποτερος ω
philippians,2,29,προσδεχεσθε ουν αυτον εν κυριω μετα πασης χαρας και τους τοιουτους εντιμους εχετε
philippians,2,30,οτι δια το εργον του χριστου μεχρι θανατου ηγγισεν παραβουλευσαμενος τη ψυχη ινα αναπληρωση το υμων υστερημα της προς με λειτουργιας
philippians,3,1,το λοιπον αδελφοι μου χαιρετε εν κυριω τα αυτα γραφειν υμιν εμοι μεν ουκ οκνηρον υμιν δε ασφαλες
philippians,3,2,βλεπετε τους κυνας βλεπετε τους κακους εργατας βλεπετε την κατατομην
philippians,3,3,ημεις γαρ εσμεν η περιτομη οι πνευματι θεω λατρευοντες και καυχωμενοι εν χριστω ιησου και ουκ εν σαρκι πεποιθοτες
philippians,3,4,καιπερ εγω εχων πεποιθησιν και εν σαρκι ει τις δοκει αλλος πεποιθεναι εν σαρκι εγω μαλλον
philippians,3,5,περιτομη οκταημερος εκ γενους ισραηλ φυλης βενιαμιν εβραιος εξ εβραιων κατα νομον φαρισαιος
philippians,3,6,κατα ζηλον διωκων την εκκλησιαν κατα δικαιοσυνην την εν νομω γενομενος αμεμπτος
philippians,3,7,αλλ ατινα ην μοι κερδη ταυτα ηγημαι δια τον χριστον ζημιαν
philippians,3,8,αλλα μενουνγε και ηγουμαι παντα ζημιαν ειναι δια το υπερεχον της γνωσεως χριστου ιησου του κυριου μου δι ον τα παντα εζημιωθην και ηγουμαι σκυβαλα ειναι ινα χριστον κερδησω
philippians,3,9,και ευρεθω εν αυτω μη εχων εμην δικαιοσυνην την εκ νομου αλλα την δια πιστεως χριστου την εκ θεου δικαιοσυνην επι τη πιστει
philippians,3,10,του γνωναι αυτον και την δυναμιν της αναστασεως αυτου και την κοινωνιαν των παθηματων αυτου συμμορφουμενος τω θανατω αυτου
philippians,3,11,ει πως καταντησω εις την εξαναστασιν των νεκρων
philippians,3,12,ουχ οτι ηδη ελαβον η ηδη τετελειωμαι διωκω δε ει και καταλαβω εφ ω και κατεληφθην υπο του χριστου ιησου
philippians,3,13,αδελφοι εγω εμαυτον ου λογιζομαι κατειληφεναι εν δε τα μεν οπισω επιλανθανομενος τοις δε εμπροσθεν επεκτεινομενος
philippians,3,14,κατα σκοπον διωκω επι το βραβειον της ανω κλησεως του θεου εν χριστω ιησου
philippians,3,15,οσοι ουν τελειοι τουτο φρονωμεν και ει τι ετερως φρονειτε και τουτο ο θεος υμιν αποκαλυψει
philippians,3,16,πλην εις ο εφθασαμεν τω αυτω στοιχειν κανονι το αυτο φρονειν
philippians,3,17,συμμιμηται μου γινεσθε αδελφοι και σκοπειτε τους ουτως περιπατουντας καθως εχετε τυπον ημας
philippians,3,18,πολλοι γαρ περιπατουσιν ους πολλακις ελεγον υμιν νυν δε και κλαιων λεγω τους εχθρους του σταυρου του χριστου
philippians,3,19,ων το τελος απωλεια ων ο θεος η κοιλια και η δοξα εν τη αισχυνη αυτων οι τα επιγεια φρονουντες
philippians,3,20,ημων γαρ το πολιτευμα εν ουρανοις υπαρχει εξ ου και σωτηρα απεκδεχομεθα κυριον ιησουν χριστον
philippians,3,21,ος μετασχηματισει το σωμα της ταπεινωσεως ημων εις το γενεσθαι αυτο συμμορφον τω σωματι της δοξης αυτου κατα την ενεργειαν του δυνασθαι αυτον και υποταξαι εαυτω τα παντα
philippians,4,1,ωστε αδελφοι μου αγαπητοι και επιποθητοι χαρα και στεφανος μου ουτως στηκετε εν κυριω αγαπητοι
philippians,4,2,παρακαλω και συντυχην παρακαλω το αυτο φρονειν εν κυριω
philippians,4,3,και ερωτω και σε συζυγε γνησιε συλλαμβανου αυταις αιτινες εν τω ευαγγελιω συνηθλησαν μοι μετα και κλημεντος και των λοιπων συνεργων μου ων τα ονοματα εν βιβλω ζωης
philippians,4,4,χαιρετε εν κυριω παντοτε παλιν ερω χαιρετε
philippians,4,5,το επιεικες υμων γνωσθητω πασιν ανθρωποις ο κυριος εγγυς
philippians,4,6,μηδεν μεριμνατε αλλ εν παντι τη προσευχη και τη δεησει μετα ευχαριστιας τα αιτηματα υμων γνωριζεσθω προς τον θεον
philippians,4,7,και η ειρηνη του θεου η υπερεχουσα παντα νουν φρουρησει τας καρδιας υμων και τα νοηματα υμων εν χριστω ιησου
philippians,4,8,το λοιπον αδελφοι οσα εστιν αληθη οσα σεμνα οσα δικαια οσα αγνα οσα προσφιλη οσα ευφημα ει τις αρετη και ει τις επαινος ταυτα λογιζεσθε
philippians,4,9,α και εμαθετε και παρελαβετε και ηκουσατε και ειδετε εν εμοι ταυτα πρασσετε και ο θεος της ειρηνης εσται μεθ υμων
philippians,4,10,εχαρην δε εν κυριω μεγαλως οτι ηδη ποτε ανεθαλετε το υπερ εμου φρονειν εφ ω και εφρονειτε ηκαιρεισθε δε
philippians,4,11,ουχ οτι καθ υστερησιν λεγω εγω γαρ εμαθον εν οις ειμι αυταρκης ειναι
philippians,4,12,οιδα ταπεινουσθαι οιδα και περισσευειν εν παντι και εν πασιν μεμυημαι και χορταζεσθαι και πειναν και περισσευειν και υστερεισθαι
philippians,4,13,παντα ισχυω εν τω ενδυναμουντι με χριστω
philippians,4,14,πλην καλως εποιησατε συγκοινωνησαντες μου τη θλιψει
philippians,4,15,οιδατε δε και υμεις φιλιππησιοι οτι εν αρχη του ευαγγελιου οτε εξηλθον απο μακεδονιας ουδεμια μοι εκκλησια εκοινωνησεν εις λογον δοσεως και ληψεως ει μη υμεις μονοι
philippians,4,16,οτι και εν θεσσαλονικη και απαξ και δις εις την χρειαν μοι επεμψατε
philippians,4,17,ουχ οτι επιζητω το δομα αλλ επιζητω τον καρπον τον πλεοναζοντα εις λογον υμων
philippians,4,18,απεχω δε παντα και περισσευω πεπληρωμαι δεξαμενος παρα επαφροδιτου τα παρ υμων οσμην ευωδιας θυσιαν δεκτην ευαρεστον τω θεω
philippians,4,19,ο δε θεος μου πληρωσει πασαν χρειαν υμων κατα τον πλουτον αυτου εν δοξη εν χριστω ιησου
philippians,4,20,τω δε θεω και πατρι ημων η δοξα εις τους αιωνας των αιωνων αμην
philippians,4,21,ασπασασθε παντα αγιον εν χριστω ιησου ασπαζονται υμας οι συν εμοι αδελφοι
philippians,4,22,ασπαζονται υμας παντες οι αγιοι μαλιστα δε οι εκ της καισαρος οικιας
philippians,4,23,η χαρις του κυριου ημων ιησου χριστου μετα παντων υμων αμην [προς φιλιππησιους εγραφη απο ρωμης δι επαφροδιτου]
